date,temp_max,temp_min,precip,snowfall,site
2018-01-01,0.4,-20.2,0.0,0.0,A
2018-01-02,18.6,-7.3,0.008,0.021653543307086614,A
2018-01-03,0.6,-10.3,0.0,0.0,A
2018-01-04,4.2,-6.6,0.043,0.11929133858267717,A
2018-01-05,1.6,-13.0,0.0,0.0,A
2018-01-06,16.4,-7.1,0.0,0.0,A
2018-01-07,34.5,16.3,0.0,0.0,A
2018-01-08,32.7,19.2,0.0,0.0,A
2018-01-09,38.1,24.3,0.0,0.0,A
2018-01-10,34.2,7.1,0.059,0.1625984251968504,A
2018-01-11,6.0,-15.7,0.091,0.24960629921259841,A
2018-01-12,-6.6,-28.1,0.0,0.0,A
2018-01-13,-1.8,-24.8,0.0,0.0,A
2018-01-14,17.1,-5.5,0.091,0.24960629921259841,A
2018-01-15,-6.3,-11.5,0.0,0.0,A
2018-01-16,4.4,-21.5,0.0,0.0,A
2018-01-17,30.6,5.3,0.0,0.0,A
2018-01-18,33.5,23.5,0.0,0.0,A
2018-01-19,40.2,27.7,0.0,0.0,A
2018-01-20,37.9,17.7,0.0,0.0,A
2018-01-21,30.6,17.1,0.0,0.0,A
2018-01-22,28.7,14.6,0.0,0.0,A
2018-01-23,26.9,9.8,0.0,0.0,A
2018-01-24,32.5,14.8,0.0,0.0,A
2018-01-25,37.0,16.1,0.0,0.0,A
2018-01-26,35.1,22.4,0.0,0.0,A
2018-01-27,21.7,7.5,0.0,0.0,A
2018-01-28,7.5,-4.9,0.0,0.0,A
2018-01-29,11.6,-5.0,0.0,0.0,A
2018-01-30,32.1,1.1,0.0,0.0,A
2018-01-31,29.0,-0.6,0.012,0.03267716535433071,A
2018-02-01,2.6,-8.3,0.0,0.0,A
2018-02-02,16.3,-12.5,0.0,0.0,A
2018-02-03,9.0,-7.0,0.201,0.5535433070866141,A
2018-02-04,5.5,-18.0,0.0,0.0,A
2018-02-05,5.5,-12.7,0.0,0.0,A
2018-02-06,12.8,-17.0,0.02,0.05433070866141733,A
