,fold_1,fold_2,fold_3,fold_4,mean
site_x_dow,1564,1159,1582,2969,1818.5
site_x_month,1297,895,1291,2810,1573.25
site_month_block_mean,593,569,588,692,610.5
days_since_epoch,422,370,556,901,562.25
cdc_ili_rate,313,231,342,661,386.75
temp_max,357,277,345,538,379.25
temp_min,265,197,304,619,346.25
temp_range,227,145,233,640,311.25
aqi,211,145,199,512,266.75
delta_7_28,151,25,137,728,260.25
lag_364,198,170,186,408,240.5
roll_mean_91,229,213,214,300,239.0
lag_admit_182,136,51,111,613,227.75
lag_admit_91,161,47,137,564,227.25
lag_admit_364,111,23,118,594,211.5
lag_admit_70,109,24,89,590,203.0
lag_admit_77,139,30,118,525,203.0
doy_cos,176,137,179,312,201.0
snowfall,200,127,183,278,197.0
roll_std_7,122,34,86,527,192.25
lag_admit_63,87,12,101,566,191.5
delta_28_91,101,22,79,556,189.5
lag_91,154,105,131,368,189.5
share_reason_fall_lag63,113,41,111,492,189.25
roll_mean_56,178,151,153,260,185.5
share_reason_abdominal_pain_lag63,93,17,74,474,164.5
delta_lag_63_70,89,6,67,453,153.75
days_to_nearest_holiday,101,41,108,349,149.75
lag_182,93,70,112,313,147.0
precip,117,55,95,320,146.75
share_reason_chest_pain_lag63,72,11,42,453,144.5
lag_63,92,64,84,335,143.75
lag_77,106,57,92,313,142.0
days_since_july4,117,59,109,270,138.75
site_dow_mean,131,110,109,172,130.5
days_until_thanksgiving,120,41,99,245,126.25
roll_std_14,60,15,58,359,123.0
share_reason_shortness_of_breath_lag63,59,16,61,341,119.25
weekend_x_block,98,66,124,182,117.5
days_since_xmas,97,59,90,220,116.5
lag_70,83,47,85,241,114.0
roll_mean_28,84,83,98,187,113.0
share_reason_back_pain_lag63,62,19,41,326,112.0
roll_std_28,79,26,53,275,108.25
share_reason_vomiting_lag63,45,19,45,319,107.0
dow,87,92,101,145,106.25
doy_sin,48,7,74,288,104.25
share_reason_headache_lag63,58,24,47,282,102.75
roll_mean_7,66,49,73,209,99.25
day,58,25,42,270,98.75
roll_mean_14,64,71,64,186,96.25
day_of_year,91,42,69,170,93.0
share_reason_fever_lag63,55,16,30,268,92.25
block,71,41,80,139,82.75
is_covid_era,86,59,85,98,82.0
roll_std_56,46,23,29,228,81.5
roll_max_91,78,61,63,112,78.5
year_frac,58,46,70,131,76.25
roll_std_91,44,24,34,199,75.25
roll_max_7,48,21,49,168,71.5
days_until_school_start,57,23,50,154,71.0
roll_max_56,57,42,44,101,61.0
days_since_school_start,34,3,20,157,53.5
roll_min_91,33,27,32,105,49.25
roll_min_7,28,20,20,109,44.25
roll_min_56,31,15,30,69,36.25
roll_min_14,25,6,10,94,33.75
roll_max_28,14,9,24,87,33.5
roll_min_28,13,5,8,97,30.75
roll_max_14,21,7,16,79,30.75
holiday_x_block,32,6,20,61,29.75
dow_cos,11,13,17,55,24.0
dow_sin,17,4,12,48,20.25
site_month_mean,8,5,10,49,18.0
year,11,8,12,38,17.25
week_of_year,8,4,7,42,15.25
school_in_session,15,14,13,16,14.5
event_count,6,4,9,14,8.25
is_halloween,6,3,7,15,7.75
month_cos,0,0,0,7,1.75
is_us_holiday,0,0,2,4,1.5
month_sin,0,0,1,5,1.5
month,2,0,0,1,0.75
site_enc,1,0,1,1,0.75
is_weekend,0,0,0,1,0.25
quarter,0,0,0,0,0.0
