,0
temp_range,3876
aqi,3638
temp_min,3487
days_since_epoch,3392
cdc_ili_rate,3344
temp_max,3327
site_month_block_mean,2477
day,2182
site_dow_mean,2131
precip,2058
days_to_nearest_holiday,1913
days_since_july4,1833
site_x_dow,1592
dow,1536
doy_cos,1422
day_of_year,1401
doy_sin,1341
days_until_thanksgiving,1317
days_until_school_start,1148
roll_mean_91,1131
snowfall,1006
days_since_xmas,971
days_since_school_start,950
roll_max_91,828
roll_mean_56,747
dow_sin,741
roll_std_91,728
roll_min_91,721
dow_cos,692
block,637
roll_std_56,603
year_frac,597
weekend_x_block,576
site_x_month,571
roll_max_56,500
roll_min_56,497
delta_28_91,495
roll_mean_28,451
lag_rate_91,317
week_of_year,310
lag_rate_182,302
lag_rate_77,301
lag_rate_63,291
roll_min_28,285
lag_rate_70,278
lag_rate_364,277
roll_std_28,250
roll_mean_14,246
is_covid_era,237
lag_total_182,210
roll_max_28,204
lag_total_70,195
school_in_session,193
xblock_b3_roll_mean_28,193
lag_diff,190
lag_total_364,186
holiday_x_block,186
lag_total_91,158
lag_total_77,155
delta_7_28,151
lag_total_63,151
roll_mean_7,147
roll_std_7,144
roll_std_14,129
year,125
roll_max_14,122
event_count,117
xblock_b3_roll_mean_14,105
site_enc,92
roll_min_7,90
roll_min_14,84
month_sin,80
is_halloween,68
roll_max_7,64
month_cos,50
xblock_b3_total_70,48
xblock_b3_roll_mean_7,44
xblock_b3_total_364,44
xblock_b3_total_91,43
xblock_b3_total_182,42
xblock_b3_total_63,40
xblock_b3_total_77,33
is_weekend,29
days_ahead,27
is_us_holiday,22
month,20
quarter,1
