,0
site_month_block_mean,869
days_since_epoch,632
temp_max,605
temp_range,588
temp_min,551
factor_1_deviation_yearly,536
aqi,523
factor_1_pred,498
lag_rate_91,494
dow,477
factor_4_deviation_yearly,470
cdc_ili_rate,470
factor_2_pred,459
lag_rate_364,456
factor_0_deviation_yearly,455
factor_3_deviation_yearly,448
factor_2_deviation_yearly,443
site_dow_mean,435
lag_rate_182,435
lag_rate_63,429
factor_4_lag_77,406
factor_4_lag_364,398
factor_3_pred,395
factor_0_lag_77,394
factor_4_pred,394
delta_7_28,388
roll_std_7,387
factor_2_lag_91,383
factor_1_lag_182,380
factor_0_momentum,379
factor_3_lag_77,376
factor_1_lag_91,371
lag_364,368
factor_3_lag_364,367
lag_rate_77,366
factor_1_lag_77,365
factor_4_momentum,361
factor_3_lag_182,361
factor_1_lag_364,361
factor_2_lag_364,358
factor_4_lag_91,355
delta_28_91,352
factor_0_lag_364,350
lag_rate_70,345
factor_3_momentum,341
factor_0_lag_91,341
factor_4_lag_182,333
factor_1_momentum,328
factor_4_lag_70,326
factor_0_lag_63,325
factor_0_lag_182,323
factor_0_pred,322
lag_182,320
roll_mean_91,314
factor_2_momentum,307
lag_91,305
factor_2_lag_77,305
lag_63,298
factor_1_lag_70,296
doy_cos,295
factor_2_lag_182,290
factor_4_roll_mean_28,288
days_to_nearest_holiday,287
factor_3_lag_63,280
factor_2_lag_70,274
lag_diff,271
site_x_dow,271
lag_70,270
precip,269
factor_3_lag_91,269
factor_4_roll_mean_7,260
factor_1_roll_mean_7,260
factor_1_lag_63,256
days_until_thanksgiving,255
factor_4_lag_63,253
factor_3_roll_mean_7,251
factor_2_lag_63,251
days_since_july4,250
lag_77,246
factor_2_roll_mean_28,241
snowfall,239
day,237
factor_4_roll_mean_14,234
factor_1_roll_mean_14,228
roll_std_28,223
factor_3_lag_70,221
factor_0_lag_70,218
factor_2_roll_mean_14,213
factor_2_roll_mean_7,212
factor_3_roll_mean_28,211
factor_3_roll_mean_14,209
day_of_year,208
dow_cos,205
factor_0_roll_mean_28,204
roll_std_14,203
days_since_xmas,200
factor_1_roll_mean_28,199
weekend_x_block,191
roll_mean_56,187
factor_0_roll_mean_7,187
doy_sin,181
roll_mean_7,177
dow_sin,164
roll_std_91,160
roll_mean_14,158
days_until_school_start,153
factor_0_roll_mean_14,147
roll_std_56,143
roll_mean_28,136
days_since_school_start,116
roll_min_7,101
roll_max_7,93
is_covid_era,91
roll_max_91,85
roll_max_28,82
roll_max_56,78
roll_max_14,71
roll_min_91,70
block,63
year_frac,56
roll_min_14,56
roll_min_56,56
roll_min_28,50
week_of_year,49
site_x_month,48
school_in_session,35
holiday_x_block,25
event_count,16
is_halloween,14
year,11
month_cos,8
month_sin,8
month,5
site_enc,2
is_weekend,1
is_us_holiday,1
quarter,0
